ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
rh_lingual_Surface_Area,3.3036917138543116e-05,0.0003183347983963784,0.0028315713688653347,0.11242297392426369,0.000175,0.002484,0.0,-0.002309
cc_central_Volume,3.231790533765875e-05,-0.0006078681606718266,0.003857052689181149,-0.15759872464009042,-0.000334,-0.004753,0.0,0.004418
lh_lingual_Volume,3.067426947681804e-05,-2.353303566843089e-05,0.0009402346081681248,-0.02502863134124238,-1.3e-05,-0.000183,0.0,0.00017
left_cerebellum_cortex_Thickness,2.8367042640151722e-05,-0.0010731458772507527,0.013679468027167754,-0.07844932936179733,-0.000529,-0.00893,0.0,0.008401
rh_lateraloccipital_Surface_Area,2.7533998830934045e-05,0.0005983268670857211,0.005222925416161764,0.11455758484668764,0.000255,0.00533,0.0,-0.005075
right_lateral_ventricle_Volume,2.6278927920641046e-05,-0.00021920045156490533,0.0017513994588177926,-0.12515659913865396,-0.000152,-0.001438,0.0,0.001286
lh_lateraloccipital_Volume,2.449243307545545e-05,-7.332140635315888e-06,0.0002974318218729128,-0.024650671479710992,-9e-06,-1.2e-05,0.0,2e-06
rh_lingual_Volume,2.4478755985893506e-05,-1.3716115343972189e-05,0.0007367986473383065,-0.01861557324757403,0.0,-0.000176,0.0,0.000177
right_cerebral_white_matter_Volume,2.4401326687295927e-05,-0.0003124877143052166,0.0023233559075226382,-0.13449784783939456,-0.000255,-0.001709,0.0,0.001454
lh_pericalcarine_Volume,2.4244546759635594e-05,1.4873112567319152e-05,0.0008646000450891695,0.01720210475438699,1e-05,0.0001,0.0,-9.1e-05
left_cerebellum_white_matter_Thickness,2.4159716053277016e-05,-0.0006706653148230612,0.010106583754291916,-0.06635918402659186,-0.000265,-0.006161,0.0,0.005896
lh_caudalmiddlefrontal_Volume,2.313614531851769e-05,-0.0006768225920574098,0.00615507571979892,-0.10996152171858313,-0.000193,-0.00688,0.0,0.006688
left_lateral_ventricle_Volume,2.0978481892060006e-05,-0.0001706882072996334,0.0014409110128358463,-0.11845771265678577,-0.000132,-0.000992,0.0,0.00086
lh_posteriorcingulate_Volume,1.9621253321612755e-05,-0.0005120392272262817,0.004107608745991095,-0.12465597682988852,-0.000212,-0.004622,0.0,0.00441
right_cerebellum_cortex_Thickness,1.8921433599579212e-05,-0.00036263751000783335,0.010506216780751325,-0.03451643654525229,1.4e-05,-0.004727,0.0,0.004741
rh_pericalcarine_Volume,1.8836856454126905e-05,-1.1859690514117918e-05,0.0006718733726332418,-0.017651412428376492,2e-06,-0.000167,0.0,0.000169
rh_parsopercularis_Thickness,1.827312486407907e-05,-0.00021877027049297486,0.0016575430202779692,-0.13198387491477492,-0.000161,-0.001348,0.0,0.001187
right_cerebellum_cortex_Surface_Area,1.7120902671348213e-05,0.0002829667143824542,0.0033933800821307437,0.08338761755464805,0.000114,0.002584,0.0,-0.00247
lh_fusiform_Thickness,1.6998094019726614e-05,-0.0006417886489411042,0.00766726890807382,-0.08370487843676667,-0.000255,-0.005882,0.0,0.005627
right_cerebellum_white_matter_Thickness,1.640363384246079e-05,-0.0001208718067771068,0.007354134581073273,-0.016435875776522554,2.2e-05,-0.001724,0.0,0.001746
rh_pericalcarine_Surface_Area,1.6173499804271354e-05,7.756717691864218e-05,0.0012626221162797227,0.061432919310804225,4.3e-05,0.000608,0.0,-0.000565
lh_cuneus_Volume,1.545104587395972e-05,1.3604707041866937e-05,0.0017168437516925743,0.007924208470555296,5.4e-05,-0.000301,0.0,0.000355
right_thalamus_Volume,1.5337488951339668e-05,-5.586322855814979e-05,0.0005053253058718114,-0.11054685455189753,-5.5e-05,-0.000221,0.0,0.000166
rh_fusiform_Surface_Area,1.453248701658908e-05,0.00037739916408324634,0.00452403339930224,0.08342076562339212,0.000152,0.003439,0.0,-0.003286
lh_isthmuscingulate_Volume,1.4364106796029035e-05,-8.570129630720062e-05,0.0014905183548808878,-0.05749725996594626,-5.1e-05,-0.000632,0.0,0.00058
brain_stem_Thickness,1.3973241673513993e-05,-5.7478144462743586e-06,0.0038583296093634358,-0.001489711904137608,6.6e-05,-0.000661,0.0,0.000727
csf_Volume,1.383516393858297e-05,-5.123374997647976e-05,0.0006599982632958616,-0.07762592201593879,-4.3e-05,-0.000265,0.0,0.000221
right_cerebellum_cortex_Volume,1.2676511721437737e-05,-5.892154186266851e-05,0.003387290317762963,-0.017394838465808492,-5e-05,-0.000301,0.0,0.000251
right_choroid_plexus_Volume,1.254357082135367e-05,-7.20173281877762e-05,0.0005762205453715167,-0.12498006009269087,-6.7e-05,-0.000321,0.0,0.000254
lh_caudalanteriorcingulate_Volume,1.2515445302157654e-05,-0.00016254076757838895,0.002430423574625544,-0.06687727213587047,-4.6e-05,-0.001657,0.0,0.001611
lh_rostralmiddlefrontal_Surface_Area,1.229373767396129e-05,0.00024424538412872593,0.0018986263370515035,0.12864253114844942,0.000239,0.000983,0.0,-0.000744
rh_posteriorcingulate_Volume,1.2083335582332104e-05,-0.0003635442387338811,0.003477106641491398,-0.10455336309280394,-9.8e-05,-0.003747,0.0,0.00365
rh_superiorfrontal_Thickness,1.2060012565090754e-05,-0.00036464951839123606,0.004175674924356689,-0.08732687570947763,-0.000213,-0.002738,0.0,0.002524
left_thalamus_Volume,1.1936562612234152e-05,-1.770203502094225e-05,0.00043497514467445,-0.040695723147489885,-1.7e-05,-7.7e-05,0.0,6.1e-05
rh_parstriangularis_Volume,1.1909106805422893e-05,-3.970962631244087e-05,0.0006288294506612927,-0.06314747948889322,-6e-06,-0.000451,0.0,0.000445
rh_lateraloccipital_Volume,1.1895495656526113e-05,-1.236736627671892e-06,0.00010114040579106846,-0.012226709502544533,-3e-06,1.2e-05,0.0,-1.5e-05
rh_parstriangularis_Thickness,1.1615560490528796e-05,-0.0002710609830007278,0.0026354306790381263,-0.10285224219110811,-0.00022,-0.001494,0.0,0.001275
rh_insula_Thickness,1.1482883767232042e-05,-2.2228052602827546e-06,2.112600370820701e-05,-0.10516677092650441,-2e-06,-1.2e-05,0.0,1.1e-05
lh_bankssts_Volume,1.1460952040824543e-05,1.9477322416520443e-05,0.000508016935611912,0.03833915300782281,2.2e-05,5.6e-05,0.0,-3.4e-05
rh_postcentral_Volume,1.1163570403719647e-05,-0.00022598751928809462,0.0034086832913063697,-0.06629740489250228,3e-06,-0.002889,0.0,0.002892
right_caudate_Thickness,1.0816907399359738e-05,-9.341925913568286e-05,0.00117920563228779,-0.07922152367878693,-6.9e-05,-0.000577,0.0,0.000508
rh_isthmuscingulate_Volume,1.0539451128447461e-05,-7.163373854828603e-05,0.0011760821180700348,-0.06090827193522636,-4.1e-05,-0.000548,0.0,0.000508
rh_cuneus_Volume,1.0282521179420172e-05,9.830034740050306e-06,0.0014161827252904173,0.006941170198451959,3.2e-05,-0.00016,0.0,0.000193
lh_frontalpole_Surface_Area,1.0167828229705502e-05,5.615244527767702e-05,0.0004286289838848507,0.13100172263557291,5.1e-05,0.000264,0.0,-0.000214
rh_supramarginal_Volume,9.705300516124522e-06,-0.0001774073084197199,0.0020265326074181333,-0.08754185960380143,-0.000118,-0.001207,0.0,0.001089
lh_lateralorbitofrontal_Surface_Area,9.679044796258437e-06,0.00015616407467502306,0.0011589818748501588,0.13474130238852008,0.00014,0.000739,0.0,-0.000599
cc_mid_posterior_Volume,9.576111994122785e-06,-0.00013591518706088573,0.0018451094893349744,-0.07366199741886248,-7.8e-05,-0.001032,0.0,0.000954
rh_frontalpole_Thickness,9.418290070304843e-06,-0.0005550625420647258,0.006393463267756156,-0.08681705839985936,-0.000395,-0.003542,0.0,0.003147
right_putamen_Thickness,9.32479212069291e-06,-3.828867429479118e-06,3.9676256052672376e-05,-0.09647842377465311,-3e-06,-1.9e-05,0.0,1.5e-05
fourth_ventricle_Thickness,9.29992683666753e-06,1.0084586692380995e-06,0.004656086733881124,0.00021658885690665008,0.000115,-0.001003,0.0,0.001118
lh_rostralanteriorcingulate_Surface_Area,8.996907742043272e-06,2.98068481723103e-05,0.0002526370516298571,0.11797821498419504,3e-05,0.000109,0.0,-7.8e-05
lh_superiorfrontal_Volume,8.94191251749982e-06,-0.00022634648292173704,0.0029906421257276136,-0.07568465786259505,-6e-05,-0.002338,0.0,0.002278
lh_fusiform_Volume,8.67584086686991e-06,-1.5930894218134078e-05,0.0015166788673560006,-0.010503732545954492,-1.8e-05,-4.5e-05,0.0,2.7e-05
rh_paracentral_Volume,8.495117210313698e-06,-0.0003642393728349295,0.0038133909778396012,-0.0955156237048225,-0.000116,-0.003597,0.0,0.003482
lh_medialorbitofrontal_Surface_Area,8.461700058654466e-06,3.217123304692111e-05,0.0002723640774014887,0.1181141515148654,3.3e-05,0.000118,0.0,-8.5e-05
rh_parahippocampal_Surface_Area,8.45669953347435e-06,0.00016703910195645406,0.0023998948847869395,0.069602384250859,9.1e-05,0.001313,0.0,-0.001222
left_cerebral_white_matter_Volume,8.361198549690098e-06,-0.00010265063418468726,0.0010094406961120427,-0.10168959670843962,-8.5e-05,-0.000551,0.0,0.000467
rh_cuneus_Surface_Area,8.334677314086776e-06,1.6653797992444965e-05,0.0005290074893246099,0.03148061893701598,-3e-06,0.00024,0.0,-0.000243
lh_parsorbitalis_Surface_Area,8.090697453182438e-06,0.0002211760758001127,0.0018239671333976398,0.12126033366882936,0.000201,0.001022,0.0,-0.000821
rh_parsorbitalis_Thickness,8.054098037639922e-06,-0.0002810206602657587,0.0029040789456124894,-0.09676723596580125,-0.000227,-0.001555,0.0,0.001329
rh_rostralmiddlefrontal_Volume,7.945137027552314e-06,-5.8660580271293415e-05,0.001429539291353495,-0.04103431803722814,-1.3e-05,-0.000631,0.0,0.000618
rh_parahippocampal_Thickness,7.719825712416417e-06,0.00010191535464686792,0.0021113919545123895,0.048269044380232384,7.4e-05,0.000634,0.0,-0.00056
rh_inferiorparietal_Surface_Area,7.687807795192702e-06,0.00010213158830253875,0.0029399369946787324,0.03473926179192879,5.9e-05,0.000775,0.0,-0.000716
