Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
cc_central <-> cc_central,0.12835708964726125,-0.011418612660243573,0.11945120582564316,-0.09559226820186359,-0.00589,-0.092695,0.0,0.086806
cc_mid_posterior <-> cc_mid_posterior,0.016562113418742624,-0.0021902015956584363,0.04969325471220366,-0.04407441548352461,-0.001166,-0.017454,0.0,0.016287
right_ventraldc <-> right_ventraldc,0.011259245344573695,9.252694834096529e-05,0.020718630275328935,0.0044658793777670475,-0.000112,0.002168,0.0,-0.002281
cc_posterior <-> cc_posterior,0.007511214832409044,-0.0003411784982622674,0.02040303797844684,-0.016721937752765075,-0.000342,-0.0013,0.0,0.000959
cc_mid_anterior <-> cc_mid_anterior,0.007461478495935488,-0.0008967266920326131,0.025103478823807663,-0.035721197891114435,-0.000613,-0.005944,0.0,0.005331
rh_lateraloccipital <-> rh_lateraloccipital,0.004613690100931161,-5.5191991355450876e-05,0.017482037477299525,-0.0031570667810574124,-7.9e-05,0.0,0.0,-7.9e-05
right_hippocampus <-> right_hippocampus,0.004452928654240856,-0.00013364076751505797,0.01917034065704272,-0.006971221857434391,-0.000111,-0.000709,0.0,0.000598
left_cerebellum_cortex <-> left_cerebellum_cortex,0.0035960162837626866,-0.00019204569167238864,0.014245298142788817,-0.013481329413685234,-0.000271,-3.7e-05,0.0,-0.000235
lh_insula <-> lh_insula,0.0030085737157738613,-3.3108175955433745e-05,0.008323150582575147,-0.003977836979950497,0.000125,-0.001525,0.0,0.00165
left_ventraldc <-> left_ventraldc,0.0029039488777462463,-0.00024254749413956417,0.01475318843909532,-0.016440332931252664,-0.000198,-0.001326,0.0,0.001128
rh_temporalpole <-> rh_temporalpole,0.00281682753994754,-0.0004681859929323866,0.013396829317295127,-0.03494749633430068,-0.000473,-0.001749,0.0,0.001276
right_cerebellum_cortex <-> right_cerebellum_cortex,0.002698725416352597,7.492747274486056e-05,0.007203464703699025,0.01040157366088686,0.000182,-0.000658,0.0,0.00084
rh_frontalpole <-> rh_frontalpole,0.0026237620990491196,-0.00022024447146804107,0.012656408364371586,-0.01740180081973583,-0.000104,-0.001874,0.0,0.00177
rh_insula <-> rh_insula,0.0025167926029766095,-0.0001291446282252781,0.009935149938473789,-0.012998746776603672,-3.5e-05,-0.001326,0.0,0.001291
right_cerebellum_white_matter <-> right_cerebellum_white_matter,0.002495467588705515,5.248732762318857e-05,0.007116440365237864,0.007375492686575382,7.7e-05,-1.8e-05,0.0,9.6e-05
cc_anterior <-> cc_anterior,0.0022184683177410886,-0.00017952116080716755,0.01116535303360439,-0.01607839890802142,-8.7e-05,-0.001511,0.0,0.001424
rh_transversetemporal <-> rh_transversetemporal,0.0020824836124055616,-0.0003889607030144903,0.01830861744076809,-0.021244667535720657,-0.000498,-0.000524,0.0,2.6e-05
left_cerebellum_white_matter <-> left_cerebellum_white_matter,0.002080026132127441,-7.49300613118097e-05,0.01101318525051653,-0.006803662298486482,-9.6e-05,-9.9e-05,0.0,3e-06
lh_lateraloccipital <-> lh_lateraloccipital,0.001716691873246483,-0.00017206859270952558,0.015418777948144306,-0.011159670480469544,-0.000247,0.0,0.0,-0.000247
rh_caudalmiddlefrontal <-> rh_caudalmiddlefrontal,0.0016586411367641406,-5.373307625843345e-05,0.009115074676557249,-0.0058949618314163964,7.8e-05,-0.001374,0.0,0.001452
lh_posteriorcingulate <-> lh_posteriorcingulate,0.0016433562007331557,7.648588897667351e-05,0.007431166350027302,0.010292568144529703,0.00011,0.0,0.0,0.00011
rh_precentral <-> rh_precentral,0.0016028455469045747,-0.00013222262709774773,0.007935673805973065,-0.01666178118112844,2e-05,-0.001851,0.0,0.00187
rh_parsorbitalis <-> rh_parsorbitalis,0.001583065696518525,-2.8667301288403953e-05,0.006031055208908242,-0.004753273310005112,-4.1e-05,0.0,0.0,-4.1e-05
fourth_ventricle <-> fourth_ventricle,0.0013969535857207083,-7.356486800203578e-05,0.007325049414357799,-0.010042903933016814,-8.4e-05,-0.000193,0.0,0.00011
rh_supramarginal <-> rh_supramarginal,0.001357710576347644,-0.0001339264227991247,0.009642139554885049,-0.013889685286127192,6.5e-05,-0.002278,0.0,0.002344
rh_superiortemporal <-> rh_superiortemporal,0.0012222969548755817,-6.863110199961322e-05,0.008240667502099567,-0.008328332468067988,5.8e-05,-0.001385,0.0,0.001443
right_thalamus <-> right_thalamus,0.0011148841196604855,-3.9239518984468575e-05,0.002034665299055378,-0.019285396054439737,-5.5e-05,-1.1e-05,0.0,-4.4e-05
lh_parsorbitalis <-> lh_parsorbitalis,0.0009962399685293198,4.407714613955747e-05,0.0032393077852295835,0.013606922525643326,8.4e-05,-0.000183,0.0,0.000267
rh_caudalanteriorcingulate <-> rh_caudalanteriorcingulate,0.0009632468579848444,-7.239320002230847e-05,0.005093875723628844,-0.014211783292762235,3e-05,-0.001188,0.0,0.001218
rh_inferiorparietal <-> rh_inferiorparietal,0.0009495845816642298,0.00012726356831949538,0.0038489542729669797,0.03306436726714381,0.000182,0.0,0.0,0.000182
lh_fusiform <-> lh_fusiform,0.0008796588758404336,-0.00013840998617115985,0.008269969834549223,-0.016736435751986842,-0.000141,-0.000506,0.0,0.000364
right_caudate <-> right_caudate,0.000869534145831392,-7.112299751364783e-05,0.0064622077872048085,-0.011005973468500452,-0.000102,0.0,0.0,-0.000102
lh_frontalpole <-> lh_frontalpole,0.0008169415098839973,5.2581100010442314e-05,0.00427723854584692,0.012293206589899245,7.6e-05,-6e-06,0.0,8.2e-05
rh_middletemporal <-> rh_middletemporal,0.0007593419584218929,-2.919678830921873e-05,0.0044590851993875705,-0.006547693422923272,-4.2e-05,0.0,0.0,-4.2e-05
lh_caudalanteriorcingulate <-> lh_caudalanteriorcingulate,0.0006501052071678728,-0.00015592638539213143,0.004703922600850758,-0.03314809088972287,-0.000137,-0.000764,0.0,0.000627
left_putamen <-> left_putamen,0.0006325212150309862,1.0991026647388935e-05,0.0015520561479778594,0.007081545243228722,1.6e-05,0.0,0.0,1.6e-05
right_lateral_ventricle <-> right_lateral_ventricle,0.0006061804735481962,2.4223634589477424e-05,0.0025386241288369187,0.009541995167525593,3.5e-05,0.0,0.0,3.5e-05
left_thalamus <-> left_thalamus,0.0005267024263460538,5.616500192367182e-05,0.002382920556205255,0.023569718293894763,8e-05,0.0,0.0,8e-05
rh_parstriangularis <-> rh_parstriangularis,0.0005260626907540618,6.249569781989641e-05,0.0030760583569972326,0.020316745457796936,9e-05,0.0,0.0,9e-05
right_amygdala <-> right_amygdala,0.00048129609914597695,8.583537738160701e-08,0.0013512577854340633,6.352210739193667e-05,0.0,0.0,0.0,0.0
rh_bankssts <-> rh_bankssts,0.0004218449830060148,-6.725676994324289e-05,0.0027783383245085238,-0.024207465043153034,-9.6e-05,0.0,0.0,-9.6e-05
rh_pericalcarine <-> rh_pericalcarine,0.0004030134727479018,-3.255238101401494e-05,0.002412591900334193,-0.013492645019265628,1e-06,-0.000419,0.0,0.000419
rh_entorhinal <-> rh_entorhinal,0.00040171601116737485,-1.7212889892693233e-05,0.0013630389743522241,-0.012628225556512739,-2.5e-05,0.0,0.0,-2.5e-05
lh_temporalpole <-> lh_temporalpole,0.00034298224208749174,-8.400338907081418e-05,0.003236544886614243,-0.025954569600607037,-0.00012,0.0,0.0,-0.00012
rh_inferiortemporal <-> rh_inferiortemporal,0.0003397487262920093,-5.625520367960504e-05,0.0027922125241231044,-0.020147106182832598,-8.1e-05,0.0,0.0,-8.1e-05
lh_inferiortemporal <-> lh_inferiortemporal,0.000329907721236404,2.9720735739679374e-07,0.002808630819516657,0.00010581892683876202,0.0,0.0,0.0,0.0
rh_fusiform <-> rh_fusiform,0.0002807492082068707,3.9191163334303225e-06,0.0021507615779935855,0.001822190870258009,6e-06,0.0,0.0,6e-06
right_putamen <-> right_putamen,0.00027627469169513115,-3.1533162022351323e-05,0.0018764920925628886,-0.016804224278420054,-4.5e-05,0.0,0.0,-4.5e-05
rh_rostralmiddlefrontal <-> rh_rostralmiddlefrontal,0.0002698086327716206,5.738659018880865e-06,0.0012193204604961216,0.0047064017547350685,8e-06,0.0,0.0,8e-06
rh_rostralanteriorcingulate <-> rh_rostralanteriorcingulate,0.0002615262533829954,-7.543939518812495e-05,0.0051524478593149535,-0.014641438561547987,-1.8e-05,-0.000799,0.0,0.000782
brain_stem <-> brain_stem,0.0002569494196002316,-6.320826746781173e-06,0.0008478932370099147,-0.007454655756559238,-1e-05,5e-06,0.0,-1.4e-05
left_hippocampus <-> left_hippocampus,0.00022578718636031455,-1.2117627770936445e-05,0.0025158200140519907,-0.004816552669796565,-1.7e-05,0.0,0.0,-1.7e-05
lh_caudalmiddlefrontal <-> lh_caudalmiddlefrontal,0.00018579056595490498,2.9947556823854813e-05,0.0016340227597724942,0.018327390711569577,4.3e-05,-0.0,0.0,4.3e-05
rh_posteriorcingulate <-> rh_posteriorcingulate,0.0001700583016680822,-1.0915333858607033e-05,0.0008395387212318117,-0.013001429914146875,-1.6e-05,0.0,0.0,-1.6e-05
left_lateral_ventricle <-> left_lateral_ventricle,0.00015733944677681513,-9.750499484244357e-06,0.0005275320491879173,-0.01848288586521963,-9e-06,-4.3e-05,0.0,3.3e-05
rh_superiorparietal <-> rh_superiorparietal,0.00015295606580901236,-5.027167589537981e-06,0.0005154735197863188,-0.009752334258177392,-7e-06,0.0,0.0,-7e-06
lh_rostralanteriorcingulate <-> lh_rostralanteriorcingulate,0.00015294038715043317,-4.579281283011451e-05,0.002027592897630804,-0.022584704768188142,-4.6e-05,-0.000175,0.0,0.000129
lh_isthmuscingulate <-> lh_isthmuscingulate,0.00015175925909579916,-6.658214140920603e-06,0.0007622971578899463,-0.00873429308908817,-1e-05,0.0,0.0,-1e-05
rh_isthmuscingulate <-> rh_isthmuscingulate,0.00014107162586312168,-1.196064306109139e-05,0.0008739457816246821,-0.013685638693134541,-1.7e-05,0.0,0.0,-1.7e-05
rh_postcentral <-> rh_postcentral,0.0001339341705658016,2.0196621239966667e-05,0.0016621892477052293,0.0121505416801562,2.9e-05,0.0,0.0,2.9e-05
rh_cuneus <-> rh_cuneus,0.0001283092556821273,-8.965340139490834e-06,0.0006550836067691751,-0.01368558637552054,-1.3e-05,0.0,0.0,-1.3e-05
lh_postcentral <-> rh_rostralanteriorcingulate,0.00012646445827161867,-2.597921517273912e-06,2.6986612527643392e-05,-0.09623138883123762,-1e-06,-2.3e-05,0.0,2.2e-05
lh_transversetemporal <-> lh_transversetemporal,0.00011603529198785846,-2.3610873168773867e-05,0.0016597208083532892,-0.014225724466848647,-3.4e-05,0.0,0.0,-3.4e-05
lh_parstriangularis <-> lh_parstriangularis,0.00010922710770524842,1.3117479641785782e-05,0.0009584740502606606,0.01368565250326124,1.9e-05,0.0,0.0,1.9e-05
lh_lateralorbitofrontal <-> lh_lateralorbitofrontal,0.00010742214735081134,-7.5787591856070675e-06,0.0005537682703496906,-0.013685548154176146,-1.1e-05,0.0,0.0,-1.1e-05
lh_rostralmiddlefrontal <-> lh_rostralmiddlefrontal,9.923060442066372e-05,2.7859825919964785e-06,0.0005776251418496854,0.004823083621739652,4e-06,0.0,0.0,4e-06
lh_caudalmiddlefrontal <-> rh_rostralanteriorcingulate,9.643625994936705e-05,-2.412285876720291e-06,2.6060316545584224e-05,-0.09252998031314211,-1e-06,-2.3e-05,0.0,2.2e-05
rh_parsopercularis <-> rh_parsopercularis,9.051217847549067e-05,2.017246022094948e-05,0.001050942082570374,0.019194462388439762,1.6e-05,0.000111,0.0,-9.5e-05
lh_precentral <-> rh_rostralanteriorcingulate,8.946676909804086e-05,-2.275718751430139e-06,2.7228897632678305e-05,-0.08354665383741433,-1e-06,-2.1e-05,0.0,2.1e-05
