ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
right_cerebral_white_matter_Volume,0.001452713745697083,-0.0001764928864803268,0.0016841911757624305,-0.10479323314830798,-0.000163,-0.001858,0.000375,0.001695
left_cerebral_white_matter_Volume,0.0014435627265637766,-0.00018003420577514682,0.0016774242006629767,-0.10732713432454842,-0.000163,-0.001861,0.000362,0.001697
left_cerebellum_white_matter_Volume,0.001331793526014224,-1.1805792186425968e-05,9.44964282778121e-05,-0.12492052023933797,-1e-05,-0.000108,1.7e-05,9.8e-05
right_cerebellum_white_matter_Volume,0.0013245594358297975,-1.1302635045573066e-05,8.964204881814265e-05,-0.12607224480168022,-1e-05,-0.000102,1.6e-05,9.3e-05
right_lateral_ventricle_Volume,0.0013109639286613423,-9.115956274573374e-06,9.131197573405317e-05,-0.09982215344443225,-8e-06,-8e-05,1.4e-05,7.1e-05
brain_stem_Volume,0.001305251703700613,-1.6588293748059237e-05,0.00012952997052522372,-0.12805540776952087,-1.4e-05,-0.000149,2.3e-05,0.000135
left_lateral_ventricle_Volume,0.0013027426344522385,-1.0084163815751234e-05,9.977102708223084e-05,-0.10106293862299838,-9e-06,-8.9e-05,1.5e-05,8e-05
right_cerebellum_cortex_Volume,0.0012956557340290152,-4.110126779907953e-05,0.00031728328866727494,-0.12953714833275212,-3.5e-05,-0.000366,5.4e-05,0.000331
right_thalamus_Volume,0.0012887238851236745,-5.4918110390559715e-06,4.210942247181613e-05,-0.13038666526661832,-5e-06,-4.9e-05,7e-06,4.4e-05
left_cerebellum_cortex_Volume,0.0012747043167757157,-4.049398598891706e-05,0.0003082978346239588,-0.1313427082977224,-3.4e-05,-0.000356,5e-05,0.000322
rh_superiortemporal_Volume,0.0012731077867295865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
third_ventricle_Volume,0.0012706654533928728,-1.0373139437557896e-06,9.255681868605003e-06,-0.11195225116356845,-1e-06,-9e-06,1e-06,9e-06
right_ventraldc_Volume,0.0012686503280628053,-3.0526738661658815e-06,2.2998597355856744e-05,-0.13267535690909188,-3e-06,-2.7e-05,4e-06,2.4e-05
right_putamen_Volume,0.0012659639655388953,-3.5621740841441705e-06,2.6273100822748246e-05,-0.13553096752804292,-3e-06,-3.1e-05,4e-06,2.8e-05
rh_lateralorbitofrontal_Volume,0.0012614062739067888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rh_lateralorbitofrontal_Thickness,0.0004622232549769755,7.644548258100626e-05,0.000272013694690222,0.28102508742137944,2e-06,4e-06,0.000336,-2e-06
rh_parstriangularis_Thickness,0.0004570403416941469,4.407669506356759e-05,0.00015831810781598445,0.2783883144412701,1e-06,3e-06,0.000194,-2e-06
lh_pericalcarine_Thickness,0.0004537026062208814,4.1597246498544546e-05,0.00015082595270050683,0.27577806056052295,1e-06,3e-06,0.000183,-2e-06
lh_middletemporal_Thickness,0.0004531229176736883,9.088391794948246e-05,0.00032696405621189626,0.2779545233722915,2e-06,6e-06,0.000399,-4e-06
rh_pericalcarine_Thickness,0.0004514334533251962,4.5510091347389786e-05,0.0001661625760172814,0.2738724549991744,1e-06,3e-06,0.0002,-2e-06
lh_parsorbitalis_Thickness,0.00045081726327160905,1.9416491113077613e-05,6.98884892381841e-05,0.27778127002022224,0.0,1e-06,8.5e-05,-1e-06
lh_posteriorcingulate_Thickness,0.00044443106840361146,3.195944432825834e-05,0.00011598202891659758,0.2755313845853867,1e-06,2e-06,0.000141,-1e-06
lh_lateralorbitofrontal_Thickness,0.00044127666622627884,7.396750594527427e-05,0.00026799989770369485,0.2759879637991987,2e-06,4e-06,0.000325,-3e-06
lh_inferiortemporal_Thickness,0.0004380840291914422,9.418233469145395e-05,0.0003441737298454801,0.2736397061352573,2e-06,6e-06,0.000413,-4e-06
lh_parstriangularis_Thickness,0.0004364426115445779,3.559935870085501e-05,0.0001303018572145878,0.27318587472997685,1e-06,2e-06,0.000156,-2e-06
lh_parsopercularis_Thickness,0.00043269043349794355,4.2462072388922155e-05,0.00015613661905818514,0.27193718727332455,1e-06,3e-06,0.000186,-2e-06
rh_superiorfrontal_Thickness,0.00042970800790948833,0.00018767844306781176,0.0006920333863731892,0.2711946198220076,4e-06,1.3e-05,0.000823,-8e-06
rh_inferiortemporal_Thickness,0.0004284556799715172,8.838795934723558e-05,0.000326151459709644,0.2709944928070915,2e-06,6e-06,0.000387,-4e-06
rh_rostralmiddlefrontal_Thickness,0.00039384619254149734,0.00014016903349172677,0.0005413834892775856,0.2589041727833906,2e-06,5e-06,0.00062,-3e-06
rh_middletemporal_Thickness,0.0003870629922568376,8.43273947831402e-05,0.0003254234922546682,0.2591232826065417,1e-06,3e-06,0.000373,-2e-06
rh_frontalpole_Surface_Area,6.097516896070612e-05,-3.4341518806010416e-05,0.0002105360766989375,-0.16310690440988737,-2e-06,-1.2e-05,-0.000143,1e-05
lh_frontalpole_Surface_Area,6.094356014067133e-05,-3.452714582646182e-05,0.0002109076039701036,-0.163699687349738,-2e-06,-1.2e-05,-0.000144,1e-05
lh_rostralmiddlefrontal_Surface_Area,6.0941354778842926e-05,-2.9952370636925984e-05,0.00018318474081771807,-0.16350016656170882,-2e-06,-1.1e-05,-0.000124,9e-06
lh_caudalanteriorcingulate_Surface_Area,5.98274966448324e-05,-3.0237475672951174e-05,0.00018556812885633348,-0.16293663407049283,-2e-06,-6e-06,-0.000128,4e-06
rh_rostralmiddlefrontal_Surface_Area,5.8955059190911206e-05,-2.823619312645557e-05,0.000173105888672532,-0.16310572843990928,-2e-06,-5e-06,-0.000119,4e-06
lh_middletemporal_Surface_Area,5.850803584947376e-05,-3.464796695794909e-05,0.00021302268067829744,-0.16264155737809682,-2e-06,-6e-06,-0.000146,4e-06
rh_inferiortemporal_Surface_Area,5.838873517989052e-05,-3.49370184859877e-05,0.00021523861865294533,-0.1623100705808392,-2e-06,-7e-06,-0.000147,4e-06
rh_lingual_Surface_Area,5.7536878608679923e-05,-2.3772980476382286e-05,0.00014603558954796915,-0.16277780486191248,-2e-06,0.0,-0.000101,-2e-06
