ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
rh_caudalmiddlefrontal_Volume,5.969983751208942e-05,-0.0022153004210659004,0.008032033399752904,-0.2758078250839695,9e-05,-1.8e-05,-0.010198,0.000107
rh_superiorfrontal_Volume,5.434276350086443e-05,-0.0017418799456208945,0.006765759474407985,-0.2574548175502701,9.7e-05,-0.000227,-0.008027,0.000324
rh_caudalanteriorcingulate_Volume,4.517187913165373e-05,-0.0010020450157290394,0.004058894295774143,-0.24687574347892383,1e-05,-0.000228,-0.00444,0.000239
rh_rostralmiddlefrontal_Volume,4.1851377952812564e-05,-0.0004971254375206886,0.0019462977487609788,-0.2554197494395011,1.6e-05,-0.000145,-0.002226,0.000161
lh_caudalanteriorcingulate_Volume,3.879757840680005e-05,-0.0008431427434253793,0.003685106893097875,-0.22879674319275,-5e-05,-0.000376,-0.003488,0.000325
right_cerebral_white_matter_Volume,3.646716378828247e-05,-0.0005897098436002438,0.0025426297195000817,-0.2319281961489176,2.6e-05,5.8e-05,-0.002744,-3.2e-05
rh_corpuscallosum_Volume,3.6364380778987456e-05,-0.0006302148015039959,0.0026682499438906698,-0.2361894323478322,-2.1e-05,-0.00015,-0.002704,0.000129
rh_parstriangularis_Volume,3.5545075318142984e-05,-0.00014709502162002175,0.0005945075643275082,-0.24741913518805633,-4e-06,-4.5e-05,-0.000631,4.1e-05
rh_parsopercularis_Volume,3.4605099678087295e-05,-0.0004290158427752073,0.0017546976568011286,-0.24449419885550214,-1.5e-05,-0.00012,-0.001834,0.000105
lh_corpuscallosum_Volume,3.4143345896978975e-05,-0.0005867113133636041,0.0025286106498971124,-0.2320282061239502,-3.2e-05,-9.4e-05,-0.002494,6.2e-05
right_lateral_ventricle_Volume,3.4084045693292155e-05,-0.00045749970931081933,0.001985336520106503,-0.23043821553442317,4e-06,1.9e-05,-0.002069,-1.5e-05
right_caudate_Volume,3.103649676441148e-05,-0.00024264774032696656,0.0010743825215510277,-0.2258464531907505,-6e-06,-3.7e-05,-0.001056,3.1e-05
lh_superiorfrontal_Volume,2.9785060772833567e-05,-0.0009482002976511375,0.004771067404266401,-0.19873924007253294,4e-06,-0.000169,-0.0042,0.000173
left_caudate_Volume,2.8941563930496155e-05,-0.00016741724196228037,0.000819243301013233,-0.2043534542433002,3e-06,-8.9e-05,-0.000728,9.2e-05
lh_caudalmiddlefrontal_Volume,2.493475255781387e-05,-0.0007789353424533224,0.004701189290286059,-0.16568864546176806,-7e-06,-8e-05,-0.00344,7.3e-05
rh_precentral_Volume,2.345583035836607e-05,-0.0007573848683833954,0.004333775596722239,-0.17476288373754031,0.000127,0.000263,-0.003882,-0.000136
lh_parsopercularis_Volume,2.048392209136192e-05,-0.00018628352643625047,0.0011945623455751695,-0.1559416029730352,-3.2e-05,-0.000285,-0.000632,0.000253
left_cerebellum_white_matter_Volume,1.945628549289862e-05,-0.0002942620219124528,0.003307656590756871,-0.08896362853945289,9.5e-05,0.000561,-0.001813,-0.000466
left_cerebellum_cortex_Volume,1.7247044209735383e-05,-0.00022944803516993523,0.0031681520454796244,-0.07242307428602483,0.000116,0.000523,-0.001576,-0.000406
right_choroid_plexus_Volume,1.6196341965362134e-05,-0.00011611893193291375,0.0007110357411109848,-0.16330726030576015,0.0,0.0,-0.000521,0.0
