Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
left_cerebellum_cortex <-> optic_chiasm,8.927831958920179e-05,-9.916554471244317e-06,0.00011797209776288852,-0.0840513489696874,-0.0,1e-06,-4.4e-05,-1e-06
optic_chiasm <-> rh_posteriorcingulate,7.824884985498596e-05,8.60999941193107e-06,0.0001298674629906239,0.06629325222153933,0.0,3e-06,3.7e-05,-3e-06
cc_mid_anterior <-> left_cerebellum_cortex,7.239196682362473e-05,-5.98266671209012e-06,8.01872234787054e-05,-0.07459942442619208,0.0,0.0,-2.7e-05,0.0
optic_chiasm <-> rh_corpuscallosum,7.174743923349027e-05,8.168404458833874e-06,0.00011544797950799204,0.07074785557171866,0.0,1e-06,3.6e-05,-1e-06
left_cerebellum_white_matter <-> optic_chiasm,6.723654715482526e-05,-6.6880413183092106e-06,0.0001172202317264542,-0.0570504827962392,0.0,1e-06,-3.1e-05,-1e-06
cc_mid_anterior <-> left_cerebellum_white_matter,5.7651504951022125e-05,-4.847231404023949e-06,8.80336016903296e-05,-0.05505489678935241,0.0,-0.0,-2.2e-05,0.0
optic_chiasm <-> rh_postcentral,5.455280310554562e-05,7.2645074849904036e-06,0.00010956201892576786,0.06629892883430318,1e-06,2e-06,2.9e-05,-2e-06
left_cerebellum_cortex <-> rh_lateraloccipital,5.2599181643014394e-05,-4.894195448438646e-06,8.176740151758684e-05,-0.05984777405021989,-0.0,0.0,-2.1e-05,-0.0
left_cerebellum_cortex <-> rh_entorhinal,5.0357812638429414e-05,-3.3003279824104824e-06,7.691471575360424e-05,-0.042903349724185996,-1e-06,0.0,-1.3e-05,-1e-06
optic_chiasm <-> rh_supramarginal,4.9146589130243416e-05,5.847710142776525e-06,9.573903441386377e-05,0.06107330667691641,1e-06,8e-06,2e-05,-6e-06
fourth_ventricle <-> optic_chiasm,4.821270426311478e-05,-5.540925443990197e-06,0.0001038393477065571,-0.05335541884814689,0.0,0.0,-2.5e-05,0.0
left_cerebellum_white_matter <-> rh_lateraloccipital,4.682635116933283e-05,-5.308125147228035e-06,9.698519421844292e-05,-0.05472565099744637,0.0,0.0,-2.4e-05,0.0
left_cerebellum_cortex <-> left_vessel,4.589719057330785e-05,-4.079187483205643e-06,7.401120619767483e-05,-0.05510836276177542,0.0,0.0,-1.9e-05,0.0
left_cerebellum_cortex <-> right_accumbens_area,4.486982541268671e-05,-3.0073960760660584e-06,4.9012587335792975e-05,-0.0613471511706658,0.0,0.0,-1.4e-05,0.0
left_cerebellum_cortex <-> rh_inferiorparietal,4.381218000818056e-05,-2.4610673532417543e-06,4.234372212205582e-05,-0.0581074632862113,-0.0,0.0,-1.1e-05,-0.0
lh_lingual <-> optic_chiasm,4.287723768288828e-05,-1.808979949897405e-06,6.210394128095421e-05,-0.029123573751583635,1e-06,4e-06,-1.2e-05,-4e-06
left_cerebellum_white_matter <-> rh_inferiorparietal,4.200656913144144e-05,-2.996294196183906e-06,6.350212054500845e-05,-0.04717673052753064,0.0,0.0,-1.4e-05,0.0
left_cerebellum_cortex <-> rh_superiorparietal,4.1507351759537074e-05,-4.382102413840275e-06,9.54959860433621e-05,-0.04588301315323514,-1e-06,0.0,-1.8e-05,-1e-06
left_cerebellum_white_matter <-> lh_entorhinal,4.137261555493506e-05,-3.384463694773457e-06,7.217514535081758e-05,-0.046885874903002105,0.0,0.0,-1.6e-05,0.0
cc_mid_anterior <-> rh_posteriorcingulate,4.0662627120429044e-05,3.490957234281312e-06,6.794907158429736e-05,0.0513685245089183,-0.0,2e-06,1.5e-05,-2e-06
left_cerebellum_white_matter <-> right_vessel,3.998337535572165e-05,-2.054879035633403e-06,6.0839817588236734e-05,-0.03376968275465537,0.0,0.0,-1e-05,0.0
left_cerebellum_white_matter <-> left_vessel,3.905795274340732e-05,-3.5939731643178647e-06,6.883551207008565e-05,-0.052203448797928216,0.0,0.0,-1.8e-05,0.0
left_cerebellum_cortex <-> right_vessel,3.898936736132622e-05,-2.639334943796371e-06,4.744206165922682e-05,-0.05562108054968282,-0.0,0.0,-1.2e-05,-0.0
left_cerebellum_white_matter <-> lh_inferiorparietal,3.886146981891771e-05,-3.527385375961652e-06,7.868605057425192e-05,-0.044822902168812975,0.0,0.0,-1.7e-05,-0.0
left_cerebellum_cortex <-> lh_inferiorparietal,3.8386440156272386e-05,-2.6368105418501313e-06,5.536204226705443e-05,-0.04761988963912562,-0.0,0.0,-1.2e-05,-0.0
cc_mid_anterior <-> rh_supramarginal,3.790776637707199e-05,3.7525949561102415e-06,8.879380213812448e-05,0.042257142889822394,-1e-06,2e-06,1.8e-05,-2e-06
left_cerebellum_cortex <-> lh_entorhinal,3.785009256263832e-05,-2.512542731524723e-06,4.5460065252179665e-05,-0.05525707336442147,-0.0,0.0,-1.1e-05,-0.0
optic_chiasm <-> right_lateral_ventricle,3.757544893798443e-05,3.823352670033511e-06,7.948679328196123e-05,0.048094426355950584,-0.0,1.2e-05,1.3e-05,-1.2e-05
rh_lateraloccipital <-> rh_posteriorcingulate,3.749517658253806e-05,3.3803171268697683e-06,8.193464052671342e-05,0.04125122894117532,-0.0,2e-06,1.6e-05,-2e-06
left_cerebellum_cortex <-> rh_temporalpole,3.695124891073851e-05,-1.9915263518659018e-06,4.487448072352502e-05,-0.04437004327025879,-0.0,0.0,-9e-06,-0.0
optic_chiasm <-> right_cerebellum_cortex,3.6037315793068596e-05,-3.42440701405997e-06,7.705396107423473e-05,-0.04443590708711797,0.0,1e-06,-1.6e-05,-1e-06
optic_chiasm <-> rh_paracentral,3.551424637721147e-05,3.761685762542635e-06,9.868052733151832e-05,0.03811597591232328,-0.0,-4e-06,2e-05,4e-06
fourth_ventricle <-> rh_lateraloccipital,3.5479304776178176e-05,-2.133463116162316e-06,5.423603819557331e-05,-0.0393293812254185,0.0,1e-06,-1e-05,-1e-06
cc_mid_anterior <-> rh_postcentral,3.5037333429145734e-05,3.908404639582298e-06,9.427268555211759e-05,0.041454108107917755,-1e-06,0.0,1.9e-05,-1e-06
optic_chiasm <-> rh_precentral,3.454117334407688e-05,3.585792401945889e-06,7.077512542316263e-05,0.05065742810385033,-0.0,0.0,1.6e-05,-0.0
left_cerebellum_cortex <-> lh_lateraloccipital,3.418230505272997e-05,-4.761943887643519e-06,0.00011060407924315911,-0.043050070300503986,-0.0,0.0,-2.1e-05,-0.0
cc_central <-> left_cerebellum_white_matter,3.3266475359286395e-05,-2.0404944118215444e-06,6.648699894667126e-05,-0.030685511288381064,-0.0,0.0,-8e-06,-0.0
