ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
left_cerebral_white_matter,5.783578188154802e-05,2.2636942641178654e-05,5.5109148584932854e-05,0.4106910796399093
right_cerebral_white_matter,5.770572468474229e-05,2.233534144795751e-05,5.445538677498374e-05,0.41008322478701753
right_lateral_ventricle,5.328152446746786e-05,1.1091847221279093e-06,3.1930684490729776e-06,0.3462881732823806
left_lateral_ventricle,5.0230814745543654e-05,1.1583104421089947e-06,3.3448219096219398e-06,0.3452673415500397
left_cerebellum_white_matter,4.92602471436573e-05,1.1882164120951425e-06,2.9474588531349987e-06,0.40176938077620117
right_cerebellum_white_matter,4.018063962750342e-05,1.0021867555523974e-06,2.6609031883777237e-06,0.37522391673099703
right_cerebellum_cortex,3.9280977530646364e-05,3.6266453661341274e-06,9.665839207740327e-06,0.3748145549207701
lh_caudalmiddlefrontal,3.702634088845942e-05,2.951777268008692e-06,1.8787767457820203e-05,0.15702807658580223
brain_stem,3.525910709398109e-05,1.4092366914663742e-06,3.924857848984768e-06,0.35814170309353643
right_ventraldc,3.324891674148904e-05,2.4603816544928704e-07,7.139502095660757e-07,0.3398550925163188
lh_superiorparietal,3.0674648777485156e-05,1.7666056368189386e-06,1.7484456892678467e-05,0.1009808791239626
left_cerebellum_cortex,3.062665625158472e-05,3.0074072438751412e-06,8.969854858722535e-06,0.3349059969442504
rh_fusiform,2.8475071671868365e-05,-1.3178266692364903e-06,1.720238156476573e-05,-0.07656271529177122
rh_rostralmiddlefrontal,2.6028298412172538e-05,2.5264754672788554e-06,1.933865412954735e-05,0.13057628971829477
rh_pericalcarine,2.2739068138454972e-05,-4.263998639425608e-07,8.744704841158381e-06,-0.048705224411214026
rh_lateralorbitofrontal,1.685272354046291e-05,-4.122943301016444e-07,1.2346709716260258e-05,-0.03336602862484535
lh_lateralorbitofrontal,1.5280133144985793e-05,-3.054597595774617e-07,1.6085316870258086e-05,-0.018978176201172463
lh_caudalanteriorcingulate,1.5016260676011311e-05,1.2264511855302912e-06,1.909517499090987e-05,0.06419471091543676
csf,1.475871846246911e-05,3.5330689419187656e-08,1.7198968798997799e-07,0.19413566674796037
lh_pericalcarine,1.2883616119562888e-05,-4.24526633357847e-07,6.948305074560852e-06,-0.061010063342852125
rh_inferiortemporal,1.256065979619512e-05,-1.1451387117976276e-06,1.3395512744931566e-05,-0.08542296990695775
lh_frontalpole,1.1740241151438553e-05,9.086784384639652e-07,2.034951774711408e-05,0.04463162879153994
lh_middletemporal,1.113253756748849e-05,-5.249111234355821e-07,1.3927068725645033e-05,-0.03766295006278576
right_thalamus,1.1007877308256584e-05,1.4164753314012426e-07,7.040383595815983e-07,0.19837524306554735
rh_entorhinal,1.0442004015330451e-05,-4.628821677028319e-06,2.209447354231046e-05,-0.20940655601537994
rh_frontalpole,9.022608768637933e-06,-8.463499682846455e-07,1.5768375266396715e-05,-0.05363986811031939
left_ventraldc,8.70636309870302e-06,1.0118312689467195e-07,5.275762917568893e-07,0.188220962207966
lh_entorhinal,8.600843099637766e-06,-4.000979116665157e-06,2.1399092831264305e-05,-0.18688223495497264
cc_anterior,8.52184671279492e-06,1.9818397067098506e-08,1.0590882497402534e-07,0.17098264149895165
rh_lingual,8.47261197019926e-06,4.971346806541136e-09,1.1249487151206703e-05,0.0004415251547232634
lh_supramarginal,7.415883356253027e-06,-9.363323220282268e-07,1.256511034012057e-05,-0.07445917345479526
lh_inferiortemporal,7.324309039770367e-06,-1.4246734246271888e-06,1.1512207806193051e-05,-0.12364587139813983
lh_superiorfrontal,6.83302976678992e-06,-6.023841763713068e-07,1.3882125896773936e-05,-0.0433615546567422
rh_precentral,6.6637291802721456e-06,-2.1137737656491068e-06,1.4185692763494462e-05,-0.14890247350836386
rh_rostralanteriorcingulate,6.125787984056844e-06,-2.0333488358401088e-06,1.4215037999335929e-05,-0.14294153983525612
rh_postcentral,5.8193577201353276e-06,-7.288386816599776e-07,1.0283911096378414e-05,-0.07080289258728846
lh_postcentral,5.782738856229127e-06,-1.9185613658134302e-07,9.384264553255356e-06,-0.020422688278973356
lh_rostralmiddlefrontal,4.17990609913629e-06,-1.1951623416509275e-06,1.129918066109688e-05,-0.10568071883069631
rh_middletemporal,4.041607231080305e-06,-1.378859442649784e-06,9.675673682265663e-06,-0.14236071623747318
rh_temporalpole,3.8178471293130645e-06,5.943992240039127e-07,7.596190999333678e-06,0.07814676545145706
rh_cuneus,3.43439380498246e-06,-6.120659101407256e-07,5.850432250658433e-06,-0.10444040370434425
lh_lingual,3.214219440908505e-06,-1.2864405263712797e-06,7.828976403383014e-06,-0.1641082279334454
lh_posteriorcingulate,3.0785833765588913e-06,-5.07816834926692e-07,4.521200102596889e-06,-0.11207115630043697
right_choroid_plexus,2.65628493741545e-06,3.220490863853509e-09,3.89338239225731e-08,0.06581318617055597
rh_superiortemporal,1.7586304500670767e-06,1.5174781444865358e-07,8.255831853125795e-06,0.018358444394349596
rh_supramarginal,1.5624819758556683e-06,-8.700213269998477e-07,8.252794467910431e-06,-0.10529383616870558
lh_parsopercularis,1.540324931748091e-06,3.1294053757003075e-08,3.6706064201838193e-06,0.008502417858478922
lh_paracentral,1.4130521988723619e-06,-6.043747207777653e-07,5.460952466997007e-06,-0.11046974442267549
rh_superiorfrontal,1.3671527803688556e-06,-1.0040842950422288e-06,8.024601931163353e-06,-0.12497001141372595
left_putamen,1.3439338651695143e-06,2.637700478078046e-08,2.732990580347747e-07,0.09310657424615476
lh_lateraloccipital,1.300641698741502e-06,-9.392078386620202e-07,7.5951883618375e-06,-0.12349567084688182
lh_insula,1.0955689593460745e-06,-1.3299451280189365e-06,1.0686622728254915e-05,-0.12433318083715461
cc_posterior,9.041017747630975e-07,2.036790727421842e-09,4.5441864499355966e-08,0.036737413970727884
rh_precuneus,5.351579451844066e-07,-1.1260304704111125e-07,5.202119938236461e-06,-0.02160407825903003
lh_inferiorparietal,5.32354943891661e-07,-6.519195597483157e-07,6.313159222829746e-06,-0.10310029160653779
rh_caudalanteriorcingulate,4.0809447893883606e-07,-1.3163103673452857e-07,4.407532391101059e-06,-0.029797412917603953
rh_superiorparietal,3.767279262258475e-07,5.583025200868665e-08,2.4646287282751782e-06,0.022561061936592186
