ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
rh_caudalmiddlefrontal_Volume,5.451983900849944e-07,-9.690307787628951e-06,0.00014081432958222388,-0.06881131844459461
left_cerebellum_cortex_Volume,5.189329923580665e-07,-6.360895495826983e-06,0.00026550735825035576,-0.0239566088550388
left_cerebellum_white_matter_Volume,5.074439075473276e-07,-7.55317975752261e-06,0.00025983898566582335,-0.029067574530524876
lh_temporalpole_Volume,5.024710720835657e-07,-1.557181681394294e-05,0.00026117651676898715,-0.05961952786297854
rh_superiorfrontal_Volume,4.614395438176125e-07,-6.941077954379456e-06,9.699400955244246e-05,-0.07155454693475284
brain_stem_Volume,4.519668874158057e-07,-7.740665077768539e-06,0.00020978143719263578,-0.03689695433403636
rh_entorhinal_Volume,4.362372522546678e-07,-1.137647476966634e-05,0.00020896027385778473,-0.054440636745342205
cc_central_Volume,4.157004951470417e-07,-8.59345507245032e-06,9.097830561801392e-05,-0.09444570941377088
lh_caudalmiddlefrontal_Volume,4.1405720252991223e-07,-8.757017268644211e-06,0.00014226545635837915,-0.06154973944758306
right_cerebellum_cortex_Volume,4.0831373834493134e-07,-8.213442614925845e-06,0.00028583233753033937,-0.02873417103249818
rh_caudalanteriorcingulate_Volume,4.0817607066675853e-07,-3.524950296297484e-06,7.910403417134602e-05,-0.04455530972751446
right_amygdala_Volume,4.0815240364818476e-07,-4.635366647040135e-06,6.512295259404267e-05,-0.07116776474008804
rh_temporalpole_Volume,4.0539317745733457e-07,-1.1360130308014068e-05,0.00022941553004861604,-0.049515545657045315
rh_superiorparietal_Volume,4.00211501065709e-07,-1.916868797034598e-05,0.00024189224226803856,-0.07924146461241235
lh_caudalanteriorcingulate_Volume,3.937222081356891e-07,-2.8466873626169723e-06,7.508793561952745e-05,-0.0379063330986792
right_cerebellum_white_matter_Volume,3.9113224061226195e-07,-6.069792256371717e-06,0.00012024084745795354,-0.050476087151851944
fourth_ventricle_Volume,3.7374424828330575e-07,-3.1544078464164917e-06,7.822985061141571e-05,-0.040317150681729995
optic_chiasm_Volume,3.729881710972196e-07,-5.1848687553113265e-06,6.442139953655632e-05,-0.08047114904542153
rh_precuneus_Volume,3.63050066445059e-07,-1.2568469315262998e-05,0.00016233274607934642,-0.07741934652947198
lh_superiorfrontal_Volume,3.5094199680236946e-07,-7.1367797682435375e-06,0.00010579790933264556,-0.0674503429210238
cc_mid_posterior_Volume,3.121935440952143e-07,-5.69446387416113e-06,6.762446271082144e-05,-0.08419470852468267
left_amygdala_Volume,3.085498961769995e-07,-4.113040286882707e-06,0.00012492449771579604,-0.03292157380133027
lh_entorhinal_Volume,3.041606337464139e-07,-9.197709582679287e-06,0.00019523921745303132,-0.04710753621786917
lh_parsopercularis_Volume,2.868203570636235e-07,3.3738685232877276e-06,7.700743703531361e-05,0.04380655411502152
lh_superiorparietal_Volume,2.823075281843294e-07,-1.3046670476606106e-05,0.00017168098691689796,-0.07598925669243761
left_vessel_Volume,2.440117604011148e-07,-2.4367109171660854e-06,5.045191672463608e-05,-0.04828811657042063
rh_inferiorparietal_Volume,2.4290935303621953e-07,-6.926267438945338e-06,0.00010271922390731324,-0.06742256171617257
lh_lateralorbitofrontal_Volume,2.339859390986979e-07,-3.990902806818558e-06,6.004693628915022e-05,-0.06645198795363037
rh_posteriorcingulate_Volume,2.3060275947502308e-07,-7.396705805856212e-06,7.239447630478233e-05,-0.10215812865934172
rh_isthmuscingulate_Volume,2.3048522880792683e-07,-4.104054532160631e-06,7.519359656284132e-05,-0.054572583223878375
wm_hypointensities_Volume,2.2977677802175156e-07,2.0914556889546802e-07,6.045622492869001e-06,0.03453741859598321
left_putamen_Volume,2.237236056297919e-07,-4.608724094771237e-07,1.2263492946271048e-05,-0.03755022400669947
lh_insula_Volume,2.2108726671083565e-07,-9.531210334487231e-08,2.738715532137762e-06,-0.034675142709564094
rh_parahippocampal_Volume,2.1489521963147073e-07,-2.4034844606116708e-06,4.0895709319304445e-05,-0.0587566992629414
rh_corpuscallosum_Volume,2.0981205169824767e-07,-8.33963216369171e-07,2.5974622140211194e-05,-0.032094490805722097
lh_precuneus_Volume,2.0766840003349843e-07,-7.335847105311896e-06,9.931323230506775e-05,-0.07385832030496255
