Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
optic_chiasm <-> rh_rostralanteriorcingulate,1.5179403971247004e-06,-1.7344711140589272e-07,9.756328146020747e-06,-0.017759705470941307
optic_chiasm <-> right_lateral_ventricle,1.4654101091886344e-06,-1.4945549095907403e-07,3.5807993258007228e-06,-0.04162178874358191
lh_lateralorbitofrontal <-> optic_chiasm,1.3919666896582259e-06,-1.0853703706146635e-07,4.435973699817965e-06,-0.024412433448697698
lh_lateraloccipital <-> rh_superiorfrontal,1.2260747540879694e-06,-8.049380675708794e-08,5.057621188828265e-06,-0.01588394312789976
lh_supramarginal <-> optic_chiasm,1.215623668656356e-06,-1.0333708119997627e-07,3.756805931373135e-06,-0.027433609026495883
optic_chiasm <-> rh_caudalanteriorcingulate,1.1713209704119824e-06,-1.084458609472838e-07,5.046935427095627e-06,-0.02144497641125072
rh_lateraloccipital <-> right_caudate,1.1393588852040986e-06,-6.329825459688417e-08,2.201418928902604e-06,-0.028623366549681898
lh_rostralanteriorcingulate <-> optic_chiasm,1.1201965025368612e-06,-1.8336590284198327e-07,9.497528833964921e-06,-0.019286389349346234
lh_lateraloccipital <-> rh_caudalanteriorcingulate,1.0478118089020867e-06,-5.2295753778178616e-08,3.6960108814567602e-06,-0.014111063202713043
lh_superiorfrontal <-> optic_chiasm,1.0198761543121703e-06,-9.960182106709939e-08,6.06804981553148e-06,-0.016387134704388722
lh_caudalmiddlefrontal <-> optic_chiasm,9.867593595737965e-07,-1.4083777675757273e-07,7.483979445991224e-06,-0.01879345650366195
rh_caudalanteriorcingulate <-> rh_cuneus,9.676805402211292e-07,-1.4360363438572815e-07,8.730999031655683e-06,-0.016428743884499362
rh_caudalanteriorcingulate <-> right_vessel,9.406103192506127e-07,-3.70533943699133e-08,2.689045747533466e-06,-0.013728331357026717
optic_chiasm <-> rh_posteriorcingulate,9.350943797505338e-07,-6.110381902263949e-08,4.768562057756394e-06,-0.012787072404648993
rh_caudalanteriorcingulate <-> rh_lateraloccipital,9.212031132291101e-07,-6.490199565859954e-08,3.832982036187663e-06,-0.016888446276211062
lh_entorhinal <-> rh_superiorfrontal,9.1840509649079e-07,-6.460627278236696e-08,4.067934338392913e-06,-0.01584289187153216
optic_chiasm <-> rh_superiorfrontal,9.120889295362067e-07,-1.1485753503002219e-07,6.969769321731051e-06,-0.01645577808315539
optic_chiasm <-> right_cerebral_white_matter,8.316169971602433e-07,-1.1212679719674365e-07,2.5176451032734913e-06,-0.04436018215196864
rh_lateraloccipital <-> right_lateral_ventricle,7.716504914010619e-07,-8.580074950584254e-08,3.336333730521883e-06,-0.025640224919366107
left_accumbens_area <-> rh_precentral,7.680035471041132e-07,-6.482309509311769e-08,3.826609104790821e-06,-0.01689593422800678
lh_rostralanteriorcingulate <-> right_inf_lat_vent,7.645627132863271e-07,-3.156117146207006e-08,1.8730791566840048e-06,-0.016760406141209425
optic_chiasm <-> rh_bankssts,7.573269944736978e-07,-1.0701066387506996e-07,4.1259540584671505e-06,-0.02587327188898462
left_vessel <-> rh_caudalmiddlefrontal,7.570636074213714e-07,-1.9405012783651594e-08,1.4922733262860603e-06,-0.012917098669138273
lh_lateraloccipital <-> rh_posteriorcingulate,7.446661130504491e-07,-1.740957780002803e-08,8.783332153248423e-07,-0.01959802639335259
