ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
left_cerebellum_cortex_Thickness,3.6762823183844647e-06,2.0404554664749545e-05,0.0009111258768687106,0.022394634195366803
left_cerebellum_white_matter_Thickness,3.414677956606171e-06,3.7740562413418545e-05,0.0007175824996313316,0.05259330669259787
lh_lingual_Volume,3.395810374718976e-06,-7.427013761738199e-06,7.294045504477256e-05,-0.10180901211897786
right_cerebellum_white_matter_Thickness,2.982624290672071e-06,3.5026699890622284e-05,0.0006611805463860252,0.05297519766740966
lh_lateraloccipital_Volume,2.968412822628089e-06,-2.193580432115626e-06,2.7200342298007407e-05,-0.08061568678892585
rh_lingual_Volume,2.9611915970350676e-06,-6.1614931430480696e-06,6.15238828596892e-05,-0.10013171372750246
brain_stem_Thickness,2.8142650975039205e-06,3.300794558795933e-05,0.0003779810308193699,0.08732467941476843
lh_pericalcarine_Volume,2.7924325701274335e-06,6.920683134562631e-06,7.564670452936523e-05,0.09147481611330893
right_cerebellum_cortex_Thickness,2.711812551863349e-06,5.0586665922092195e-05,0.0007529132911366686,0.06718701163530594
right_cerebellum_cortex_Volume,2.69122298951664e-06,-3.924114664616273e-05,0.00045779786150378576,-0.0857153184684624
lh_cuneus_Volume,2.3137947210240494e-06,1.7123318665762643e-05,0.0001990758232247625,0.08600973383439202
fourth_ventricle_Thickness,2.1742075894470693e-06,4.36298870598184e-05,0.000481976742632494,0.09052092765357529
rh_pericalcarine_Volume,2.051844519036684e-06,4.32339610634028e-06,6.706591788578704e-05,0.06445526565438743
left_cerebellum_cortex_Volume,1.8505453950422732e-06,-2.847036631832902e-05,0.0003863680213977777,-0.07368526350265318
lh_fusiform_Thickness,1.7007019155631523e-06,1.4038863043700413e-05,0.00043650818257672734,0.03216100406363436
lh_bankssts_Volume,1.675007452275692e-06,4.650556099029464e-06,4.957899424703154e-05,0.09378202098357444
rh_parahippocampal_Thickness,1.3503162547669476e-06,2.7514886081821832e-05,0.00021394263624442662,0.12860269714268868
lh_fusiform_Volume,1.322411317777779e-06,-1.729252826544155e-05,0.00017562570021911191,-0.09845679576457686
right_cerebellum_white_matter_Volume,1.228290177161593e-06,-2.3685991300737258e-05,0.0002649996672891422,-0.0893778387144434
rh_cuneus_Volume,1.1417151465740532e-06,2.2594971452927255e-06,0.0001231193005159614,0.01835060489927679
lh_parahippocampal_Volume,1.0447732291665287e-06,-1.9301768311158005e-05,0.00014921015248438218,-0.1293509488484016
left_inf_lat_vent_Volume,1.0210183276147576e-06,-1.5836118915318326e-05,0.00012124541080116358,-0.13060133820573688
wm_hypointensities_Volume,1.01765042051299e-06,8.05266948711594e-07,7.81083549511204e-06,0.10296431234423475
rh_fusiform_Thickness,9.310544617726899e-07,2.311256339044632e-05,0.00027672147364349737,0.08351982189138832
lh_parahippocampal_Thickness,8.926155464969475e-07,7.320054592536906e-06,0.00021707428471477846,0.03371987337616143
lh_lateraloccipital_Thickness,8.925583462845073e-07,6.404445362244082e-05,0.0005582458865466898,0.11472239731964645
rh_lateraloccipital_Volume,7.518808716041649e-07,7.557495455679505e-08,6.5274204372941244e-06,0.011560363186320621
lh_inferiortemporal_Volume,6.801490261306058e-07,-1.7885989374018424e-05,0.00015099303407714357,-0.11844788075503788
left_cerebellum_white_matter_Volume,6.288722283781002e-07,-1.744485645319268e-05,0.00018741149388408411,-0.09307820619539998
left_thalamus_Volume,6.099792230056988e-07,2.1564917917939045e-06,2.6915779519730604e-05,0.08009022692225776
