Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
cc_central <-> cc_central,0.009000771284912586,-0.0004891688124051962,0.006919240416952132,-0.07069679270557036
right_ventraldc <-> right_ventraldc,0.0011523758285653962,3.393685205191878e-05,0.002230960530081054,0.0152116989419335
cc_mid_anterior <-> cc_mid_anterior,0.0007550010342544673,-3.5232665851225737e-05,0.0025097528872287857,-0.014038244820062952
cc_mid_posterior <-> cc_mid_posterior,0.0007087706195729351,1.1020362537632952e-05,0.0015184760742392059,0.007257466976214708
cc_posterior <-> cc_posterior,0.0005695032384438433,-1.6506758808138283e-05,0.0015171744356268753,-0.010879863001836007
left_cerebellum_cortex <-> left_cerebellum_cortex,0.0004373750552979354,-3.985015648381308e-05,0.0016541355223938252,-0.02409108264316627
right_cerebellum_white_matter <-> right_cerebellum_white_matter,0.00040589405280141446,-3.395053945384026e-05,0.0015844920255379976,-0.021426630516494787
rh_frontalpole <-> rh_frontalpole,0.00031894348198283523,4.575287760272418e-06,0.0015901149243948524,0.0028773134048028443
rh_insula <-> rh_insula,0.00026412012149476923,2.5398952672053095e-05,0.0013392732610929534,0.018964586066225964
left_cerebellum_white_matter <-> left_cerebellum_white_matter,0.00026305371132192694,-3.4595588795298016e-05,0.0012296820650949847,-0.028133538287592155
rh_lateraloccipital <-> rh_lateraloccipital,0.0002615202190099808,-2.4862051779354865e-06,0.0010842360983119943,-0.0022930266309522614
right_cerebellum_cortex <-> right_cerebellum_cortex,0.00022219424038318758,-9.109612374559663e-06,0.0009839290146067999,-0.009258309955521005
lh_insula <-> lh_insula,0.00021311519339406855,1.2236360215821433e-05,0.000758111516905726,0.01614036792645611
rh_inferiorparietal <-> rh_inferiorparietal,0.0002095023425262594,-1.4785346479158611e-05,0.0012440708403382737,-0.011884554443534699
rh_temporalpole <-> rh_temporalpole,0.00020581987717085124,6.843329721162805e-06,0.001203928953849261,0.005684116872606502
right_hippocampus <-> right_hippocampus,0.00019717300438537081,2.8573421350506324e-05,0.0009098047867774963,0.031405756166825435
left_ventraldc <-> left_ventraldc,0.00015879174387466147,8.297556106956878e-06,0.0008720644436441908,0.009514733710442622
left_thalamus <-> left_thalamus,0.00014757903707858999,1.5355418423148856e-05,0.0012470535610153966,0.012313260448926928
rh_caudalmiddlefrontal <-> rh_caudalmiddlefrontal,0.0001474190865249167,-4.3614978194829734e-06,0.0008478526014468538,-0.005144109213026025
lh_frontalpole <-> lh_frontalpole,0.00012999025745271314,-6.801803503025263e-06,0.0009664499274619697,-0.007037853624089255
rh_parstriangularis <-> rh_parstriangularis,0.000125465560259737,-4.071806793359251e-06,0.0009315930009640939,-0.004370753195454968
cc_anterior <-> cc_anterior,0.00012485969833260548,-5.196151842978004e-06,0.0007118473956771263,-0.007299428051927969
left_putamen <-> left_putamen,0.00012424936106477337,8.214847947739427e-06,0.00040876465256713086,0.02009627528553852
