ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
rh_lateralorbitofrontal_Thickness,5.3110481532170974e-05,-9.01351897217684e-06,2.2940557886743313e-05,-0.39273637776723597
rh_parstriangularis_Thickness,5.2863297279155846e-05,-5.196974141056821e-06,1.3274471861817737e-05,-0.3912066806354551
lh_pericalcarine_Thickness,5.271655689323844e-05,-4.831796979463719e-06,1.246560384559333e-05,-0.38729964811846934
lh_middletemporal_Thickness,5.2676525345216414e-05,-1.0829573955298359e-05,2.7351693833344968e-05,-0.39579325831431694
rh_pericalcarine_Thickness,5.258482641734139e-05,-5.304089486800974e-06,1.3690943741905282e-05,-0.38713314839605173
lh_parsorbitalis_Thickness,5.251919549396909e-05,-2.3152477811076247e-06,5.853083417384007e-06,-0.3948856968746051
lh_posteriorcingulate_Thickness,5.225611398268331e-05,-3.864574259698793e-06,9.862010759341998e-06,-0.3914677925205563
lh_lateralorbitofrontal_Thickness,5.212655547568213e-05,-8.9356764640564e-06,2.2652237775694336e-05,-0.3942980632583458
lh_inferiortemporal_Thickness,5.211270588886841e-05,-1.1558795374989036e-05,2.9453638390094864e-05,-0.3923071286021108
lh_parstriangularis_Thickness,5.207185155547896e-05,-4.370971833460463e-06,1.123289225546861e-05,-0.38877645841837505
lh_parsopercularis_Thickness,5.197060229301236e-05,-5.229541479021482e-06,1.3463347242580475e-05,-0.38813973876471525
rh_superiorfrontal_Thickness,5.1881743291723364e-05,-2.331805935222639e-05,5.906727855686601e-05,-0.39470435879643856
rh_inferiortemporal_Thickness,5.187166825524653e-05,-1.0963521186158772e-05,2.7859071718014118e-05,-0.3933938416424587
rh_rostralmiddlefrontal_Thickness,5.1740457257005205e-05,-1.9238853121528968e-05,4.954157635732723e-05,-0.3882591541143595
rh_middletemporal_Thickness,5.1666058546932496e-05,-1.15956147192094e-05,2.9558829139351423e-05,-0.39215670882880765
right_cerebral_white_matter_Volume,2.3437750576973376e-05,1.0695889271383929e-05,4.366025572901119e-05,0.24492389826511585
left_cerebral_white_matter_Volume,2.3380507076076986e-05,1.072196281222276e-05,4.36994052811472e-05,0.24530104546737844
left_cerebellum_white_matter_Volume,2.192856580261897e-05,6.117964052236325e-07,2.472728798843031e-06,0.24642095645272813
right_cerebellum_white_matter_Volume,2.1817131049163245e-05,5.810567975942575e-07,2.340432511675248e-06,0.2472127128551821
right_lateral_ventricle_Volume,2.1555965520164636e-05,5.167277147197047e-07,2.4172272636200237e-06,0.21288806469199137
brain_stem_Volume,2.1502730985136965e-05,8.510204310567282e-07,3.4127412810590468e-06,0.24863708974036447
left_lateral_ventricle_Volume,2.1482784396720037e-05,5.631838250723839e-07,2.6286995614243452e-06,0.21343234118263263
right_cerebellum_cortex_Volume,2.141660206966032e-05,2.0792777769791375e-06,8.340463073327344e-06,0.24900149353640863
right_thalamus_Volume,2.1343639281063716e-05,2.760972072591488e-07,1.1143271126598924e-06,0.24556661860263074
left_cerebellum_cortex_Volume,2.1028654633527083e-05,2.008487151722284e-06,8.091339603307638e-06,0.24792037490963262
rh_superiortemporal_Volume,2.096328476332172e-05,0.0,0.0,0.0
third_ventricle_Volume,2.0941065068750384e-05,5.518694668215821e-08,2.408034446956006e-07,0.22004062483726428
right_ventraldc_Volume,2.0895757792372474e-05,1.5052999039847728e-07,6.083710850380338e-07,0.24342986604753475
right_putamen_Volume,2.0885639837411218e-05,1.7212274924733532e-07,6.988660977720421e-07,0.2428141926780179
rh_lateralorbitofrontal_Volume,2.085526370463971e-05,0.0,0.0,0.0
rh_frontalpole_Surface_Area,6.704451573582429e-07,3.0234619370691624e-07,7.481947846570093e-06,0.04035615301904886
lh_frontalpole_Surface_Area,6.700976073704525e-07,3.0752062534463974e-07,7.643335135026485e-06,0.040181256918598994
lh_rostralmiddlefrontal_Surface_Area,6.700733597562988e-07,2.701633082380611e-07,6.6900738514546405e-06,0.040322437368269674
lh_caudalanteriorcingulate_Surface_Area,6.674397463803132e-07,2.7289499533164984e-07,6.700667115074405e-06,0.04066585194169985
rh_rostralmiddlefrontal_Surface_Area,6.615314511320103e-07,2.6654523804006275e-07,6.625519158811516e-06,0.0401694625033384
lh_middletemporal_Surface_Area,6.613253884588018e-07,3.2858351031389296e-07,7.921040891674767e-06,0.041430061299874005
rh_inferiortemporal_Surface_Area,6.399819009979939e-07,3.1568859856477244e-07,8.011695392097988e-06,0.039354348817053186
rh_lingual_Surface_Area,6.395213679238129e-07,2.1621201693541775e-07,5.544270906763096e-06,0.03892716444063785
lh_superiorfrontal_Surface_Area,6.110768231933827e-07,2.7051036547643973e-07,7.077220498647539e-06,0.03816875254947429
cc_posterior_Surface_Area,5.873686493376478e-07,0.0,0.0,0.0
rh_middletemporal_Surface_Area,5.85715459668593e-07,2.886006167456172e-07,7.583881806789769e-06,0.038004359837096276
lh_caudalmiddlefrontal_Surface_Area,5.570746508781442e-07,2.3279885491926203e-07,6.444535284401905e-06,0.036067485056878706
rh_parsorbitalis_Surface_Area,5.321938351443442e-07,2.4470582370548904e-07,7.080505949904681e-06,0.034511757755281015
wm_hypointensities_Surface_Area,4.417820087149672e-07,0.0,0.0,0.0
lh_lateralorbitofrontal_Surface_Area,4.4154509254106375e-07,1.9493373679580054e-07,6.35803934385178e-06,0.030611264514878563
