ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
rh_inferiorparietal,8.483412530191525e-06,0.00011503272875439704,0.0013880963028428095,0.08287025894112914
optic_chiasm,8.282367713604374e-06,1.0792253422190849e-06,0.0004208692360206792,0.0025642161690439366
cc_mid_anterior,7.036561626311547e-06,-9.130974697896317e-06,0.000422127872068567,-0.021630313937843492
rh_inferiortemporal,6.668545010379875e-06,-3.299757627408237e-05,0.000995512465409248,-0.0331459885845142
rh_lateraloccipital,6.654590783507578e-06,3.6016470628804234e-05,0.001175190611678953,0.03064708294982014
right_cerebellum_cortex,6.465327434869132e-06,-6.044551139081469e-05,0.001198119458237284,-0.05044990002978772
rh_superiorparietal,6.144071928610487e-06,0.00010958048082603057,0.0013318100968709324,0.08227874101275864
right_cerebellum_white_matter,5.953443622118098e-06,-2.206283587555971e-05,0.0008798515532540119,-0.025075349404646927
lh_inferiorparietal,5.83743329138401e-06,-3.9202471032197705e-05,0.0009122209045934197,-0.042974285167054496
lh_lateraloccipital,5.724027941005857e-06,-7.525629547023088e-05,0.0013401707275675922,-0.05615384098741662
rh_precentral,5.680431537731725e-06,3.787059341952324e-05,0.0006354148326019371,0.05959885650746566
rh_middletemporal,5.630940529797695e-06,-3.8145112408062135e-05,0.0008807523291028132,-0.04330920061819467
right_vessel,5.593221231096023e-06,-7.682327591180765e-06,0.0004628464413902004,-0.016597646492953
lh_superiorparietal,5.389207412890363e-06,1.2152911462647451e-05,0.0009790079454763305,0.01241336945742561
left_cerebellum_white_matter,5.199734915406859e-06,-3.599251807331763e-05,0.0008775826919263914,-0.04101278235842069
lh_caudalmiddlefrontal,5.1688008340243605e-06,-2.4949685393523245e-05,0.0008145258455652754,-0.030630555462182935
lh_rostralmiddlefrontal,5.137365336365074e-06,1.4068586476960501e-05,0.0006414629267856046,0.021931691719957114
rh_bankssts,5.114487617544249e-06,-2.9084580964007308e-05,0.0008869336899460063,-0.03279191372992108
rh_caudalmiddlefrontal,5.018526354107404e-06,3.322948399206294e-05,0.0007343804472421466,0.04524770728820001
lh_superiorfrontal,5.006965460839648e-06,-1.2702987084742673e-05,0.0007745078304858729,-0.016401155124826237
lh_precentral,4.923184447471776e-06,-1.3785338480769913e-05,0.0006046302318561688,-0.022799241192486764
rh_rostralmiddlefrontal,4.905716745954008e-06,2.5489740571263045e-05,0.0005719494856183892,0.044565640070999314
fourth_ventricle,4.89665528955646e-06,-1.9975112852253924e-05,0.0008079243666713332,-0.024723682611188857
lh_postcentral,4.666826081300771e-06,1.085993598755951e-05,0.0006310483119509707,0.01720908477377485
rh_superiorfrontal,4.658092266335144e-06,4.154581944270292e-06,0.0005383856056022686,0.0077165970543589925
rh_frontalpole,4.494226442130462e-06,9.42660839971157e-06,0.0005691106641251848,0.016563461834937128
left_cerebral_white_matter,4.350753341085341e-06,-4.336275948430688e-06,0.0002961436761260783,-0.014641979141209958
left_cerebellum_cortex,4.264703371654236e-06,-3.63686912627879e-05,0.0007354675478376627,-0.04944908429864854
right_amygdala,4.076477904295337e-06,4.7607979393072126e-06,0.0004563361489082934,0.01043242711852913
rh_entorhinal,3.918682630290172e-06,-1.1668112337543646e-05,0.0005807621113739414,-0.020090689805920974
cc_central,3.855936428917562e-06,1.33369928300525e-05,0.0003581784022474796,0.037234574727625334
rh_postcentral,3.8503770999949245e-06,2.6254284389477597e-05,0.000604032198124931,0.04346432165000425
rh_temporalpole,3.774537617679963e-06,-4.891075835412981e-06,0.0006028456743228696,-0.008113178732051682
rh_fusiform,3.6053472241255563e-06,-1.8739432717472044e-05,0.0005341957492570586,-0.03507905473412393
rh_supramarginal,3.5504426124519542e-06,2.9476502203670973e-05,0.0005308764555465741,0.05552317618147451
lh_precuneus,3.52499397577849e-06,2.622794032974392e-07,0.00046565387795404953,0.0005632375962889702
lh_cuneus,3.467860430598708e-06,1.9314332140074567e-05,0.0006855698801703388,0.028172256360959335
lh_frontalpole,3.3901987323774898e-06,-2.6890713916516055e-05,0.0005567552940603805,-0.04829811448987298
brain_stem,3.3801290960254403e-06,-2.1055940034328276e-05,0.0005004174784522767,-0.0420759069814674
right_cerebral_white_matter,3.2875244587093857e-06,1.120480759290627e-05,0.0002548516730223245,0.04396427073569744
rh_lateralorbitofrontal,3.153557326276116e-06,5.28743095910545e-06,0.0004180703335569236,0.012646925805194666
rh_superiortemporal,3.1266968451359305e-06,1.4853840751117689e-05,0.0004417323473420989,0.033625575724154914
rh_parstriangularis,3.055025196241512e-06,1.9633401862261787e-05,0.000543805789765396,0.03610303752072315
right_accumbens_area,3.0483458336523956e-06,3.515819417423679e-06,0.00015908890373797217,0.022098325851534813
lh_bankssts,3.0286057662539795e-06,-1.2741296754998569e-05,0.0004752612848629479,-0.026808471626205498
lh_supramarginal,2.92125131943564e-06,-4.464560461184441e-06,0.0005114209168128376,-0.008729547460695035
right_pallidum,2.9108058253819077e-06,8.968008430460617e-07,0.00017464982507759614,0.005134557089173998
rh_parsorbitalis,2.8659934057312104e-06,1.1335345046196441e-05,0.00045562754665322085,0.02487798718401846
lh_entorhinal,2.8104553145409084e-06,-1.0509694369955992e-05,0.0004136236251852987,-0.025408220536345134
rh_cuneus,2.8074765509487333e-06,3.4339534529399893e-05,0.0006321264020611605,0.05432298221939364
rh_precuneus,2.7978332219928927e-06,1.2109470892763956e-05,0.0005637214894035319,0.02148091976479199
right_inf_lat_vent,2.7493548502393476e-06,-6.243303207585914e-06,0.00033255894086706535,-0.01877295934884518
lh_parstriangularis,2.7237025726671493e-06,-1.9681205642197884e-06,0.00035179684062120213,-0.005594321476934855
rh_paracentral,2.7083211210637776e-06,1.4272178986403503e-05,0.0006473702048645928,0.022046054048545854
lh_medialorbitofrontal,2.6730925873429723e-06,3.9036097231463615e-07,0.00031880704901561925,0.001224404320659501
left_accumbens_area,2.6405454954446406e-06,1.132581940970844e-06,0.0001199219765497255,0.009443536023949872
lh_pericalcarine,2.626003225682223e-06,-4.549245446394346e-07,0.0004759655033747014,-0.0009557730206995655
lh_inferiortemporal,2.5301464367874205e-06,1.1749147935493584e-06,0.0004258210132539892,0.0027591104381318845
lh_temporalpole,2.5063352246759386e-06,-1.0782242862943223e-05,0.0003653560510137917,-0.02951079563365404
lh_paracentral,2.4649064923923268e-06,7.658915056327283e-06,0.0006701215021978781,0.01142897331524901
left_vessel,2.4520119183931756e-06,-6.120076067092962e-06,0.00018666803745045986,-0.032784124745885504
rh_caudalanteriorcingulate,2.3886043647379313e-06,8.01318846641336e-06,0.0002848506211783049,0.028130207795192607
rh_parahippocampal,2.342498646037691e-06,-6.707222522915087e-06,0.00030621551951916985,-0.021902885603546873
lh_posteriorcingulate,2.3293790447082706e-06,6.3297990326414325e-06,0.0003362121300357019,0.0188262415444495
left_pallidum,2.28384548655951e-06,1.2482839664135234e-06,0.00014296806419783942,0.008730597755794673
rh_pericalcarine,2.280673425346063e-06,1.0171947150928908e-05,0.0005117080592436953,0.019878030425509615
lh_fusiform,2.265036908263508e-06,7.842252860305206e-06,0.0004198474575531162,0.01867836981152843
right_hippocampus,2.243907147224862e-06,-5.117232364370742e-06,0.00024118992836258299,-0.02121572920485399
right_caudate,2.1784255420506567e-06,2.284581825924522e-06,0.00014517714893798027,0.01573542729253833
right_putamen,2.0941055672001005e-06,5.2604553462082865e-06,0.00019309472680332487,0.027241463392897704
rh_transversetemporal,2.039303408156648e-06,5.0357425964031875e-06,0.0003468780788271848,0.01451690877769233
lh_parsorbitalis,2.029995922116166e-06,-2.989168659157568e-06,0.00027982071720323475,-0.010682060529425733
lh_rostralanteriorcingulate,1.9793104079726687e-06,-5.096155668491853e-06,0.00022612665011231391,-0.022535735211257336
rh_parsopercularis,1.9297949454356683e-06,3.964749391789734e-06,0.0003600548322483511,0.011011209750845893
third_ventricle,1.8699573196796194e-06,-6.209580274014698e-07,8.071360461735833e-05,-0.0076923971661684515
rh_medialorbitofrontal,1.8071674391426875e-06,3.4376361115258924e-06,0.0003019898938675351,0.011382905031859805
lh_caudalanteriorcingulate,1.8051402327748722e-06,1.5954162683576645e-06,0.00020527154957874003,0.007771844433324044
csf,1.778193192552188e-06,3.3257248427342805e-06,8.536631747444666e-05,0.03895371621913393
cc_anterior,1.7662276330293705e-06,5.566857985473682e-07,0.0001290938073536515,0.004311923946769825
right_choroid_plexus,1.7083739570022502e-06,1.724660622284751e-06,0.00010779627393863615,0.015997776003894137
rh_posteriorcingulate,1.6953280039223762e-06,4.495297200131911e-06,0.00027926322159745124,0.016096413306004333
left_amygdala,1.6598142669591084e-06,-9.805232575979133e-07,0.00027119117878635416,-0.003615483022551116
rh_unknown,1.528204961346517e-06,2.6485410318756644e-06,0.00012114855180789942,0.021860124542219743
lh_lateralorbitofrontal,1.5212961889166308e-06,-2.0076950842563196e-06,0.00022783453518255534,-0.008811688560569157
lh_insula,1.4975691564476815e-06,6.038618019839519e-06,0.00023727523396196298,0.025448772850347336
lh_parsopercularis,1.4286552646993353e-06,3.7654884280176915e-07,0.00024549910421784956,0.001533746962261909
right_ventraldc,1.4266643305215987e-06,-9.074123988143191e-07,0.00010488643022269337,-0.008650555570746286
rh_lingual,1.407079325061337e-06,-9.352153082875972e-06,0.00034336659181888936,-0.02723584922704537
rh_rostralanteriorcingulate,1.4058913321709254e-06,-3.5226563191956593e-06,0.00015442106517646212,-0.022810542135226892
lh_lingual,1.3299545836661879e-06,-5.835286547532329e-06,0.0002659896030432932,-0.02193720020921459
lh_superiortemporal,1.3179447747033032e-06,4.337945064731541e-06,0.00029515706579254485,0.014696575490506862
rh_insula,1.275437186743236e-06,6.915107814138571e-06,0.0002134602345471253,0.032393779998456905
lh_transversetemporal,1.210359420230751e-06,1.3636176027304235e-06,0.00022031529484623614,0.0061891105316894506
lh_middletemporal,1.1579057796533075e-06,-4.758068780234196e-06,0.00027093610252783436,-0.017560941957987377
lh_isthmuscingulate,1.1222158236739646e-06,8.584679263014537e-07,0.00017762562055648716,0.0048327465156599355
left_inf_lat_vent,1.1092199489541926e-06,-3.299936418882813e-06,0.00021361239016183347,-0.01544752128455677
left_putamen,1.0435915802784276e-06,-2.2375919884785267e-06,0.00010164082684459951,-0.02201253111201235
cc_mid_posterior,1.0372111594432262e-06,3.0129642636416663e-06,0.00014457763250122865,0.020838326290570277
left_hippocampus,1.0062192060314622e-06,-3.7386584714208646e-07,0.00016748182713790475,-0.0022321438217654836
right_lateral_ventricle,9.907902824771258e-07,2.9142351946857947e-06,8.794058280454531e-05,0.03313491624225128
