Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
optic_chiasm <-> rh_corpuscallosum,2.1050932638971656e-06,-2.558048703863027e-07,3.7681535044212118e-06,-0.06770632005474599
lh_superiorfrontal <-> optic_chiasm,2.104209780424518e-06,-1.9262086001165738e-07,3.7344207472416206e-06,-0.051442098261407776
optic_chiasm <-> rh_posteriorcingulate,1.776727843749091e-06,-1.1321848137614913e-07,2.745092759465223e-06,-0.041094253900229985
left_cerebral_white_matter <-> optic_chiasm,1.6416396594176513e-06,-1.1110346635202424e-07,2.6366532992046603e-06,-0.04197885170128316
optic_chiasm <-> rh_rostralanteriorcingulate,1.6202489866393508e-06,-1.699330350579218e-07,3.694171611028407e-06,-0.04587612370657483
lh_rostralmiddlefrontal <-> optic_chiasm,1.602368510280558e-06,-1.3108761150384006e-07,3.030437312451864e-06,-0.04311472266406592
lh_precentral <-> optic_chiasm,1.5860731667856847e-06,-8.221529572560893e-08,2.4149835604683332e-06,-0.033903444570045176
optic_chiasm <-> right_lateral_ventricle,1.5739619445756287e-06,-1.998334687624407e-07,3.9647360295614e-06,-0.05027590946322333
optic_chiasm <-> right_cerebral_white_matter,1.5652548195112273e-06,-1.6216040687901263e-07,3.846790068916785e-06,-0.04204543259585733
optic_chiasm <-> rh_supramarginal,1.4701228649692632e-06,-9.540708179278365e-08,2.0206749436172505e-06,-0.04698294135782982
lh_corpuscallosum <-> optic_chiasm,1.4286632706477989e-06,-1.2983408382529327e-07,2.713918211048018e-06,-0.047664457507826594
left_lateral_ventricle <-> optic_chiasm,1.258626875841152e-06,-8.391450731219326e-08,2.0293789500453333e-06,-0.04114708907352796
lh_parstriangularis <-> optic_chiasm,1.1964478134894322e-06,-4.94806538201258e-08,1.7369133662270256e-06,-0.028324618024415178
optic_chiasm <-> rh_postcentral,1.1817357722316089e-06,-1.2057305637941903e-07,2.0987611280585797e-06,-0.057177199814198026
left_cerebellum_cortex <-> optic_chiasm,1.1732167757124924e-06,1.1759777084303971e-07,1.8688350780087835e-06,0.06259078948412626
rh_lateraloccipital <-> right_lateral_ventricle,1.1563190770168612e-06,-1.1700473855010417e-07,3.154566861516066e-06,-0.03697338172025542
cc_mid_anterior <-> lh_superiorfrontal,1.1180630582621846e-06,-1.0741010917080311e-07,2.9822926870510397e-06,-0.03589558923684628
lh_rostralanteriorcingulate <-> optic_chiasm,1.1032827547778617e-06,-1.5199096143035345e-07,3.1354371413300854e-06,-0.04832109325385605
cc_anterior <-> optic_chiasm,1.0838017822586633e-06,-1.6067427950890878e-07,3.4427428285664927e-06,-0.046535258339995576
left_caudate <-> optic_chiasm,1.0677540313984909e-06,-7.699524888022771e-08,2.9026942963627853e-06,-0.026434373485873616
cc_mid_anterior <-> rh_posteriorcingulate,1.0412044743600843e-06,-9.336754003516332e-08,2.105208752662107e-06,-0.04414105223309761
rh_lateraloccipital <-> right_cerebral_white_matter,9.913373262956094e-07,-1.2757834106196874e-07,3.4664691741666e-06,-0.03669767648451898
optic_chiasm <-> right_thalamus,9.790662927307256e-07,-9.56132166386388e-08,2.074144364814058e-06,-0.04587648449543425
lh_caudalmiddlefrontal <-> optic_chiasm,9.718951234257414e-07,-7.627854943636548e-08,1.991657220901686e-06,-0.038107698281129435
cc_mid_anterior <-> rh_postcentral,9.33584132656775e-07,-8.816507766348448e-08,2.1859636735160724e-06,-0.04014869586723115
optic_chiasm <-> wm_hypointensities,9.328667848909009e-07,-5.84024909332502e-08,1.6348434660895612e-06,-0.03550641269962051
lh_entorhinal <-> rh_corpuscallosum,9.266794012297935e-07,-5.696652972263753e-08,1.4092061630289029e-06,-0.040139714163203916
optic_chiasm <-> rh_superiorfrontal,9.202904571497272e-07,-7.933565936742456e-08,1.7083091568749384e-06,-0.046170771452857216
optic_chiasm <-> rh_precentral,9.184972503508634e-07,-5.053824683520364e-08,1.0854944950715542e-06,-0.046132816789647715
cc_mid_anterior <-> lh_caudalmiddlefrontal,9.10470641108932e-07,-6.461909498575756e-08,2.245793952109635e-06,-0.028645832180428227
lh_entorhinal <-> right_cerebral_white_matter,9.001796452003134e-07,-9.038946661816267e-08,2.257157906186678e-06,-0.039869065304849564
cc_mid_anterior <-> rh_supramarginal,8.918257704754205e-07,-8.056049228426726e-08,1.873326323260166e-06,-0.042775641846714896
cc_mid_anterior <-> left_cerebellum_cortex,8.790074872102992e-07,6.89347327736311e-08,1.1709801108342116e-06,0.058370782150545725
lh_rostralmiddlefrontal <-> rh_superiorparietal,8.646336797430147e-07,-4.4727939440603675e-08,1.560738751183649e-06,-0.02847573436823813
left_vessel <-> lh_rostralmiddlefrontal,8.586019612947951e-07,-4.598809127234271e-08,1.7224194225671137e-06,-0.026545587444521474
lh_lateraloccipital <-> lh_rostralmiddlefrontal,8.571737195987647e-07,-5.491344460332915e-08,2.0823610861855767e-06,-0.026244726575104512
cc_central <-> lh_rostralmiddlefrontal,8.406350547305211e-07,-1.9416212246481877e-08,7.950567648186981e-07,-0.024117817643398702
left_cerebellum_white_matter <-> optic_chiasm,8.403495325368676e-07,6.377985831377422e-08,1.3337357302461489e-06,0.04746458464871725
cc_mid_anterior <-> lh_precentral,8.391780542031361e-07,-2.5277604109738716e-08,9.5198122436265e-07,-0.026276608596478707
optic_chiasm <-> rh_rostralmiddlefrontal,8.388646722621811e-07,-6.829989998521278e-08,1.9098310154225537e-06,-0.03557599571865445
lh_rostralmiddlefrontal <-> lh_superiorparietal,8.379256955828332e-07,-6.24766965220469e-08,2.3643529949650942e-06,-0.02631314579362509
cc_mid_anterior <-> left_cerebellum_white_matter,8.058772222325337e-07,5.8711150119350466e-08,1.4278968020163682e-06,0.04083126830591709
fourth_ventricle <-> right_cerebral_white_matter,8.024465700663576e-07,-5.6628175347408143e-08,1.7898409692190745e-06,-0.031462877174075164
cc_mid_anterior <-> rh_superiorfrontal,7.940512327298435e-07,-6.737119700070186e-08,2.1402371219841436e-06,-0.03133198488292059
lh_posteriorcingulate <-> optic_chiasm,7.841834849557259e-07,-1.566577341158313e-08,1.4977947498160705e-06,-0.010389858044998587
lh_cuneus <-> optic_chiasm,7.751420032344398e-07,-1.3380351197060611e-08,2.14916244219902e-06,-0.006197009977365696
lh_parsorbitalis <-> optic_chiasm,7.673923531509037e-07,-6.018097004937019e-08,1.4582897756011056e-06,-0.040987120559858564
cc_mid_anterior <-> right_cerebral_white_matter,7.593918375557328e-07,-6.676561392271921e-08,1.8036517472964196e-06,-0.03681280820435654
lh_postcentral <-> optic_chiasm,7.566415143632378e-07,-3.7620274460181555e-08,1.5525076100502494e-06,-0.02407685838981079
lh_lateraloccipital <-> rh_corpuscallosum,7.551201980355601e-07,-6.839865895076255e-08,1.8807228101328518e-06,-0.03617593154543712
fourth_ventricle <-> right_lateral_ventricle,7.519488151322885e-07,-6.282003279315423e-08,2.0149475321964405e-06,-0.03102304222421702
cc_mid_anterior <-> lh_posteriorcingulate,7.452229852304449e-07,-5.695716006702436e-08,2.193008744748907e-06,-0.025854259635958086
lh_rostralmiddlefrontal <-> rh_inferiorparietal,7.213960848463096e-07,-3.6751938835221255e-08,1.2102900493905162e-06,-0.030117379760309704
optic_chiasm <-> rh_caudalanteriorcingulate,7.213078638602376e-07,-5.2195767161605973e-08,1.2648818671399118e-06,-0.040941649973187486
lh_superiorfrontal <-> rh_superiorparietal,7.041359461677002e-07,-4.360543830591636e-08,1.70234985354595e-06,-0.025465262379424283
optic_chiasm <-> right_choroid_plexus,6.900942839939567e-07,-6.050691338394828e-08,1.952817974742525e-06,-0.030826553538101438
lh_lateraloccipital <-> rh_posteriorcingulate,6.869150328544519e-07,-5.1283301871762885e-08,1.0560609814172533e-06,-0.0481054111966328
rh_lateraloccipital <-> rh_posteriorcingulate,6.868295069277034e-07,-7.110218197851523e-08,1.6256863490803028e-06,-0.04346932528873512
lh_entorhinal <-> right_lateral_ventricle,6.854714206979616e-07,-5.954928878859664e-08,2.4576983949939844e-06,-0.024131510118659296
lh_entorhinal <-> rh_posteriorcingulate,6.689030133304514e-07,-4.320768673818541e-08,1.1247396340933623e-06,-0.038077181266967575
csf <-> rh_lateraloccipital,6.612916904453002e-07,-3.804290603186844e-08,1.0720779751674897e-06,-0.035157268611792934
lh_lateraloccipital <-> lh_superiorfrontal,6.552311924934565e-07,-3.553167579288233e-08,9.267996062311918e-07,-0.03792879027333142
rh_corpuscallosum <-> rh_lateraloccipital,6.505101716837171e-07,-7.379902177967822e-08,1.7386740100940117e-06,-0.04220284704506511
left_cerebellum_cortex <-> right_accumbens_area,6.474498365506757e-07,5.0822022474062864e-08,1.0955074481617014e-06,0.045971668991079635
lh_entorhinal <-> rh_supramarginal,6.441145494945655e-07,-4.6519695277935896e-08,1.3025541860650365e-06,-0.035442114140368804
left_cerebellum_white_matter <-> rh_rostralanteriorcingulate,6.432859907598347e-07,-2.2119724189634822e-08,1.675964260209058e-06,-0.01311992472894532
lh_parsorbitalis <-> right_vessel,6.335304768460416e-07,-1.8370761148006434e-08,1.1961501003839957e-06,-0.015230907945999284
lh_lateraloccipital <-> rh_superiorfrontal,6.299313710176934e-07,-4.2750032630482846e-08,1.0586650057687253e-06,-0.04000321185751878
lh_supramarginal <-> optic_chiasm,6.290299182013469e-07,-5.641764225332879e-08,2.634167578305792e-06,-0.021336636420554514
cc_anterior <-> rh_inferiorparietal,6.287859453853647e-07,-7.617100015036747e-08,3.1062712550480884e-06,-0.024442994179976175
rh_corpuscallosum <-> right_cerebellum_white_matter,6.256341756757257e-07,-2.8527437930017256e-08,1.0498170164757945e-06,-0.026917323921519434
left_lateral_ventricle <-> rh_lateraloccipital,6.254320093101798e-07,-4.064528427319216e-08,1.1423539530081114e-06,-0.035271527612754296
